Rank,Name,Category,USDC Amount (USD),% of Total
516,Satsuma,Dexs,499843.32,0.0013%
517,Notional Exponent,Leveraged Farming,487190.41,0.0012%
518,Clober Liquidity Vault,Dexs,487144.80,0.0012%
519,Sommelier,Onchain Capital Allocator,487118.18,0.0012%
520,Koi Finance AMM,Dexs,487023.82,0.0012%
521,Krystal,Liquidity Manager,483545.15,0.0012%
522,Aptin Finance V2,Lending,477420.61,0.0012%
523,DipCoin Spot,Dexs,472425.24,0.0012%
524,Bastion,Lending,469862.50,0.0012%
525,Kuru CLOB,Dexs,466939.66,0.0012%
526,iZiSwap,Dexs,464934.73,0.0012%
527,Nomiswap,Dexs,462340.22,0.0012%
528,RollX,Derivatives,458052.40,0.0012%
529,Teller,Lending,457870.89,0.0012%
530,Meter Passport,Bridge,455783.73,0.0012%
531,Arca Labs ArCoin,RWA,448480.36,0.0011%
532,Figure Markets Democratized Prime,RWA Lending,443880.96,0.0011%
533,Bitrue,CEX,435834.01,0.0011%
534,Extra Finance Vaults,Onchain Capital Allocator,433108.11,0.0011%
535,Arbitrum Nova Bridge,Canonical Bridge,427660.13,0.0011%
536,SaucerSwap V1,Dexs,426851.81,0.0011%
537,Venus Flux,Lending,426363.87,0.0011%
538,Nerve,Dexs,418522.89,0.0011%
539,cSigma Finance,RWA Lending,417257.53,0.0011%
540,Astros Perp,Derivatives,411536.37,0.0010%
541,Aave Aptos,Lending,409266.31,0.0010%
542,Yelay V3,Yield Aggregator,406716.60,0.0010%
543,MoreMarkets.xyz,Yield,406316.64,0.0010%
544,Beam Swap,Dexs,401573.79,0.0010%
545,Mayan DEX Aggregator,DEX Aggregator,401499.32,0.0010%
546,Gnosis Protocol v1,Prediction Market,400544.02,0.0010%
547,Takara Lend,Lending,397890.44,0.0010%
548,Snowbl Capital,Onchain Capital Allocator,397430.34,0.0010%
549,DELV Yield,Yield,394345.62,0.0010%
550,Haedal Vault,Farm,391060.50,0.0010%
551,Atrix,Dexs,390889.41,0.0010%
552,HLP0,Yield,387817.55,0.0010%
553,HyperSwap V3,Dexs,383989.52,0.0010%
554,Extra Finance Xlend,Lending,379545.42,0.0010%
555,Hashflow,DEX Aggregator,379272.20,0.0010%
556,Perpetual Protocol,Derivatives,375380.54,0.0010%
557,Haedal AMM Protocol,Dexs,373957.29,0.0010%
558,Rho X,Derivatives,371559.72,0.0009%
559,RamsesX Polygon CL,Dexs,371521.28,0.0009%
560,Aave V4,Lending,366727.88,0.0009%
561,Defi Swap,Dexs,364967.13,0.0009%
562,OpenGDP Shared Security,Restaking,361831.93,0.0009%
563,Streamflow,Payments,358794.74,0.0009%
564,Thala CDP,CDP,357623.15,0.0009%
565,DewFinance,Onchain Capital Allocator,352621.66,0.0009%
566,Alien Base V3,Dexs,350097.65,0.0009%
567,CORE Bridge,Canonical Bridge,349139.35,0.0009%
568,TermMax,Lending,348209.08,0.0009%
569,Avantgarde,Risk Curators,343095.75,0.0009%
570,Carbon Defi,Dexs,340326.26,0.0009%
571,Peer,Payments,337747.63,0.0009%
572,Radiant V2,Lending,333481.91,0.0008%
573,Apricot Finance,Lending,332841.07,0.0008%
574,Ensuro,Insurance,331306.26,0.0008%
575,MUX Perps,Derivatives,321487.98,0.0008%
576,Camelot V2,Dexs,318886.77,0.0008%
577,GMX V1 Perps,Derivatives,317078.67,0.0008%
578,Snuggle,Liquidity Manager,316941.12,0.0008%
579,Zero Network,Canonical Bridge,314906.86,0.0008%
580,PulseX StableSwap,Dexs,313504.58,0.0008%
581,Pumex,DEX Aggregator,312803.82,0.0008%
582,Nolus Protocol,Lending,311413.13,0.0008%
583,Pika,Derivatives,309976.70,0.0008%
584,Cega V1,Options,308193.13,0.0008%
585,LiquidSwap,Dexs,305827.95,0.0008%
586,8lends,RWA Lending,305786.26,0.0008%
587,SpookySwap V2,Dexs,305276.93,0.0008%
588,NBX,CEX,298945.27,0.0008%
589,Kava Lend,Lending,296108.10,0.0008%
590,Reactor DEX,Dexs,292691.10,0.0007%
591,Armada,Liquidity Manager,292506.33,0.0007%
592,Pods Finance,Options,286540.77,0.0007%
593,Cetus DLMM,Dexs,280519.67,0.0007%
594,JediSwap V1,Dexs,278104.59,0.0007%
595,Aura,Yield,277077.71,0.0007%
596,xToken,Liquidity Manager,276566.25,0.0007%
597,Phiat Protocol,Lending,274793.31,0.0007%
598,Carrot Lend,Lending,273007.61,0.0007%
599,BiFi,Lending,272993.14,0.0007%
600,Full Sail,Dexs,272966.91,0.0007%
601,Port Finance,Lending,269940.27,0.0007%
602,Katana DEX V3,Dexs,269707.94,0.0007%
603,Moonwell Apollo,Lending,269268.18,0.0007%
604,GammaSwap Open Interest,Options,268238.48,0.0007%
605,LOCKON,Indexes,266815.82,0.0007%
606,Edel,Lending,266031.41,0.0007%
607,WOO X,CEX,262790.83,0.0007%
608,10KSwap,Dexs,259295.77,0.0007%
609,Sovryn Bridge,Canonical Bridge,257176.41,0.0007%
610,PsyOptions,Options,257151.26,0.0007%
611,Kinza Finance,Lending,255275.90,0.0007%
612,Kyo Finance,Dexs,254675.08,0.0006%
613,Garden,Cross Chain Bridge,251838.20,0.0006%
614,Mento V3,Dexs,251294.18,0.0006%
615,Bancor V2.1,Dexs,251150.64,0.0006%
616,Volmex,Yield,250671.69,0.0006%
617,SuiDollar Basis,Basis Trading,250525.16,0.0006%
618,MM Finance Cronos,Dexs,250391.03,0.0006%
619,NonKYC,CEX,249811.90,0.0006%
620,KyberSwap Classic,Dexs,249267.06,0.0006%
621,Chest Finance,Options Vault,245833.64,0.0006%
622,DoubleUp,Luck Games,245042.72,0.0006%
623,Algofi Lend,Lending,243491.28,0.0006%
624,Zivoe,RWA,243233.02,0.0006%
625,DefiTuna AMM,Dexs,239199.57,0.0006%
626,Spectra V2,Yield,237813.21,0.0006%
627,Hashport,Bridge,234157.25,0.0006%
628,Feather,Risk Curators,233045.25,0.0006%
629,Bunni V2,Dexs,232528.47,0.0006%
630,zkLink Nova,Chain,231808.14,0.0006%
631,Ellipsis Finance,Dexs,230680.90,0.0006%
632,Valiant Trade,Dexs,230384.81,0.0006%
633,LendFlare,Lending,227738.27,0.0006%
634,Cellana Finance,Dexs,227496.00,0.0006%
635,DeltaPrime,Leveraged Farming,226436.00,0.0006%
636,THENA INTEGRAL,Dexs,225007.94,0.0006%
637,Ashswap,Dexs,224665.56,0.0006%
638,Shadow Exchange Legacy,Dexs,223921.27,0.0006%
639,Hyperdrive HL,Lending,223860.52,0.0006%
640,PancakeSwap StableSwap,Dexs,222758.44,0.0006%
641,Clipper,Dexs,222597.84,0.0006%
642,DeltaSwap,Dexs,222265.38,0.0006%
643,K2,Chain,221165.86,0.0006%
644,Demex Perp,Derivatives,220640.55,0.0006%
645,Kine Finance,Yield,220337.01,0.0006%
646,Aequinox,Dexs,219367.65,0.0006%
647,Levana Perps,Derivatives,217267.64,0.0006%
648,BMX Classic Perps,Derivatives,215229.98,0.0005%
649,ABEL Finance,Lending,214988.49,0.0005%
650,Wasabi Perps,Derivatives,211529.20,0.0005%
651,Clearpool Lending,Uncollateralized Lending,207869.80,0.0005%
652,Sperax USD,Yield Aggregator,207546.71,0.0005%
653,HypurrFi Pooled,Lending,204283.16,0.0005%
654,Maverick V2,Dexs,202897.48,0.0005%
655,Larix,Lending,199769.98,0.0005%
656,APY Finance,Yield,199562.40,0.0005%
657,SKALE Network Bridge,Bridge,199030.13,0.0005%
658,Silo V1,Lending,198537.41,0.0005%
659,Rocket Bridge,Bridge,198355.81,0.0005%
660,Homora V2,Leveraged Farming,196588.92,0.0005%
661,TheDeep,Liquidity Manager,196371.12,0.0005%
662,Stability,Liquidity Manager,196058.00,0.0005%
663,Outcome Finance,Synthetics,192958.26,0.0005%
664,Stella,Leveraged Farming,192205.05,0.0005%
665,Reaper Farm,Yield Aggregator,192017.17,0.0005%
666,TanX.fi,Dexs,190586.23,0.0005%
667,Perena Dex,Dexs,189453.04,0.0005%
668,JustLend,Lending,189302.64,0.0005%
669,Index Coop,Indexes,188741.00,0.0005%
670,Rysk V1,Options,187463.93,0.0005%
671,MaxShot,Onchain Capital Allocator,186947.84,0.0005%
672,Etherex Legacy,Dexs,186612.45,0.0005%
673,Monday Trade Spot,Dexs,185943.31,0.0005%
674,Cozy V2,Insurance,184896.88,0.0005%
675,Mycelium Perpetual Pools,Derivatives,184545.53,0.0005%
676,Sablier Legacy,Payments,184175.50,0.0005%
677,Impermax V2,Lending,183259.88,0.0005%
678,Seamless V1,Lending,182634.19,0.0005%
679,Peapods Finance,Yield,181577.22,0.0005%
680,Trisolaris,Dexs,181009.87,0.0005%
681,Smoothy,Dexs,178284.07,0.0005%
682,mySwap V1,Dexs,178214.35,0.0005%
683,Megaton Finance,Dexs,178007.94,0.0005%
684,Secured Finance Lending,Lending,176190.25,0.0004%
685,Jigsaw,CDP,176153.03,0.0004%
686,Helix Spot,Dexs,176057.01,0.0004%
687,Mendi Finance,Lending,175584.99,0.0004%
688,Derive V1,Options,175232.29,0.0004%
689,01,Derivatives,172588.77,0.0004%
690,ether.fi Stake,Liquid Restaking,172560.48,0.0004%
691,BitKan,CEX,172233.20,0.0004%
692,Navigator,Derivatives,171650.63,0.0004%
693,Velodrome V1,Dexs,170008.63,0.0004%
694,Aegis Markets,Liquidity Manager,169820.53,0.0004%
695,Adrena Protocol,Derivatives,167238.10,0.0004%
696,Nostra Money Market,Lending,167226.43,0.0004%
697,Renegade,Dexs,166660.70,0.0004%
698,Antfarm finance,Liquidity Manager,166391.00,0.0004%
699,Alpaca Finance 2.0,Lending,165731.34,0.0004%
700,Butter Network,Cross Chain Bridge,165300.03,0.0004%
701,MantisSwap,Dexs,163390.49,0.0004%
702,Apostro,Risk Curators,161851.33,0.0004%
703,Swappi,Dexs,160109.47,0.0004%
704,deBridge,Bridge,159329.04,0.0004%
705,Bounce.Tech,Derivatives,158740.94,0.0004%
706,Meson,Cross Chain Bridge,158320.70,0.0004%
707,Silo V2,Lending,157584.86,0.0004%
708,Prime Protocol,Lending,157333.77,0.0004%
709,Layer2 Finance,Yield,155150.43,0.0004%
710,Thetanuts Finance,Yield,154829.62,0.0004%
711,Beta Finance V1,Lending,154013.13,0.0004%
712,Sushi Aptos,Dexs,152689.40,0.0004%
713,Bullbit PERP DEX,Derivatives,152615.02,0.0004%
714,Solarbeam,Dexs,151646.31,0.0004%
715,Untangled Vault,Onchain Capital Allocator,151312.22,0.0004%
716,Lynx,Derivatives,151007.64,0.0004%
717,BMX Freestyle,Derivatives,150843.70,0.0004%
718,SecretSwap,Dexs,150347.00,0.0004%
719,Mayan Bridge,Bridge,149541.45,0.0004%
720,Alphix,Dexs,146471.70,0.0004%
721,Rari Capital,Yield Aggregator,144667.55,0.0004%
722,Ribbon Earn,Options,143942.00,0.0004%
723,SwapX Algebra,Dexs,142604.35,0.0004%
724,Voltz,Derivatives,142457.05,0.0004%
725,Beets DEX,Dexs,141964.41,0.0004%
726,Nostra Pools,Dexs,141037.42,0.0004%
727,SingularityDAO,Yield,140450.90,0.0004%
728,GlowSwap,Dexs,140285.97,0.0004%
729,Blackwing,Farm,138341.12,0.0004%
730,ZeroLend Lending,Lending,138246.46,0.0004%
731,EZManager,Liquidity Manager,136652.98,0.0003%
732,Wombat Exchange,Dexs,136084.78,0.0003%
733,Biswap V2,Dexs,135743.37,0.0003%
734,BounceBit CeDeFi Yield,Basis Trading,134735.04,0.0003%
735,Stryke CLAMM,Options,133331.13,0.0003%
736,Saphyre V2,Dexs,132315.03,0.0003%
737,Dfyn Network,Dexs,132289.36,0.0003%
738,Fastex,CEX,128841.44,0.0003%
739,OpenTrade,RWA,128825.20,0.0003%
740,CronaSwap,Dexs,127597.43,0.0003%
741,Zora Bridge,Canonical Bridge,127360.65,0.0003%
742,Verified Network,RWA,126704.61,0.0003%
743,Umami Finance,Yield,126506.76,0.0003%
744,Bridgers,Dexs,126070.82,0.0003%
745,MochiFi,Lending,126060.98,0.0003%
746,zkBob,Privacy,125195.18,0.0003%
747,InsureDAO,Insurance,123660.85,0.0003%
748,Typus Perp,Derivatives,123010.23,0.0003%
749,Sushi BentoBox,Yield,122511.94,0.0003%
750,Moonswap,Dexs,122464.57,0.0003%
751,Hypersurface,Options,122072.03,0.0003%
752,H2 Finance V2,Dexs,121291.74,0.0003%
753,Timeswap V2,Lending,120659.80,0.0003%
754,Alphadex,Dexs,119972.11,0.0003%
755,Comet Swap V3,Dexs,119909.00,0.0003%
756,Tizi,Yield Aggregator,118841.32,0.0003%
757,Goat Protocol,Yield Aggregator,118411.15,0.0003%
758,Blend Money,Onchain Capital Allocator,117618.06,0.0003%
759,mySwap CL,Dexs,115962.73,0.0003%
760,Ajna V2,Lending,115607.61,0.0003%
761,Lavarage,Derivatives,115291.03,0.0003%
762,Vaultedge,CDP,114887.25,0.0003%
763,Kittenswap Algebra,Dexs,114562.81,0.0003%
764,Tokos,Lending,114550.08,0.0003%
765,GrizzlyFi Hives,Yield,114098.43,0.0003%
766,Dual Finance,Options,113930.39,0.0003%
767,Superfund,Onchain Capital Allocator,113804.33,0.0003%
768,SHPRD,Indexes,112864.63,0.0003%
769,RockSolid Network,Yield,112015.14,0.0003%
770,Hotcoin,CEX,111993.76,0.0003%
771,ApeSwap AMM,Dexs,111491.67,0.0003%
772,RadioShack,Dexs,111446.84,0.0003%
773,Xave Finance,Dexs,111423.64,0.0003%
774,SharkSwap,Dexs,111106.88,0.0003%
775,Compound Blue,Lending,110633.10,0.0003%
776,PEAKDEFI,Yield,110623.12,0.0003%
777,ThalaSwap V2,Dexs,110109.41,0.0003%
778,IDEX Classic,Dexs,109907.50,0.0003%
779,ZyFAI,Yield,109207.27,0.0003%
780,Bitbond Lockers,Token Locker,108902.49,0.0003%
781,Muscadine,Risk Curators,108254.87,0.0003%
782,Tarot,Lending,106922.17,0.0003%
783,DexFi Aggregator,Yield Aggregator,106842.76,0.0003%
784,Snowflake Exchange,Dexs,106477.92,0.0003%
785,Meshswap,Dexs,106401.68,0.0003%
786,HashKey Global,CEX,106009.37,0.0003%
787,xSigma,Dexs,105864.31,0.0003%
788,Revert Compoundor,Liquidity Automation,105368.49,0.0003%
789,Atomic Green,Derivatives,105295.19,0.0003%
790,Shido Dex V3,Dexs,104276.99,0.0003%
791,Shido Dex V2,Dexs,104276.99,0.0003%
792,Integral,Dexs,103396.09,0.0003%
793,Aftermath AMM,Dexs,103251.27,0.0003%
794,TaoFi,Dexs,103010.70,0.0003%
795,HMX,Derivatives,102532.57,0.0003%
796,Iron Finance,CDP,101835.06,0.0003%
797,Yam Finance,Synthetics,100595.93,0.0003%
798,BabyDogeSwap,Dexs,100435.23,0.0003%
799,dForce Lending,Lending,100090.56,0.0003%
800,FlowX V3,Dexs,99993.18,0.0003%
801,ZebraDAO,Lending,99976.94,0.0003%
802,Spreads Finance Yield,Yield,99941.92,0.0003%
803,Unified Labs,Risk Curators,99834.39,0.0003%
804,Lucidly Finance,Yield,99386.07,0.0003%
805,Zama,Privacy,98135.90,0.0003%
806,Puzzle Swap,Dexs,97612.95,0.0002%
807,ChimpX AI DEX,Dexs,97360.85,0.0002%
808,HyperSwap V2,Dexs,96515.06,0.0002%
809,Ferra DLMM,Dexs,96323.26,0.0002%
810,StratEx,Yield Aggregator,96300.49,0.0002%
811,Hats.V2,Bug Bounty,96179.48,0.0002%
812,Levinswap,Dexs,95884.02,0.0002%
813,Pika V4,Derivatives,95292.02,0.0002%
814,GammaSwap Yield Tokens,Yield,94779.03,0.0002%
815,Hercules V3,Dexs,94757.09,0.0002%
816,Bonkswap,Dexs,94401.28,0.0002%
817,LiveArt,RWA,93884.07,0.0002%
818,CVI Finance,Synthetics,93340.63,0.0002%
819,Yieldoor,Leveraged Farming,92761.77,0.0002%
820,Fraxtal,Chain,92470.89,0.0002%
821,Cropper AMM,Dexs,92313.47,0.0002%
822,Gaming DEX,Dexs,91486.92,0.0002%
823,Vendor V2,Lending,91394.16,0.0002%
824,Arbswap AMM,Dexs,90719.37,0.0002%
825,Ledgity Yield,Yield,90484.66,0.0002%
826,Duality,Dexs,89432.86,0.0002%
827,Hermes V1,Dexs,89280.63,0.0002%
828,Serum Swap,Dexs,88726.37,0.0002%
829,Gyroscope Protocol,Dexs,88621.82,0.0002%
830,Premia V3,Options,86679.97,0.0002%
831,Siren,Options,86479.02,0.0002%
832,Rooster Protocol V2,Dexs,86451.67,0.0002%
833,Basis Cash,Algo-Stables,86311.02,0.0002%
834,Metropolis DLMM,Dexs,85618.97,0.0002%
835,XSwap V3,Dexs,85571.02,0.0002%
836,SpartaDex,Dexs,85542.04,0.0002%
837,Zenlink AMM,Dexs,85530.90,0.0002%
838,Aurigami,Lending,85439.69,0.0002%
839,Minswap DEX,Dexs,84137.51,0.0002%
840,PolyQuity,CDP,83657.69,0.0002%
841,YieldFlow-YTrade,Derivatives,83226.96,0.0002%
842,AggreLend,Yield Aggregator,82729.85,0.0002%
843,xWin Finance,Indexes,82650.55,0.0002%
844,Omnipair,Lending,82433.85,0.0002%
845,Pangolin V2,Dexs,82358.89,0.0002%
846,Iron Bank,Lending,81861.86,0.0002%
847,Cypher V4,Dexs,81809.68,0.0002%
848,Radiant V1,Lending,81679.51,0.0002%
849,Wing Finance,Lending,81674.01,0.0002%
850,Metropolis DLMM Vaults,Liquidity Manager,81391.80,0.0002%
851,Polycat,Farm,81230.23,0.0002%
852,Lynex V2,Dexs,80332.79,0.0002%
853,Invariant,Dexs,79854.30,0.0002%
854,Wrap Protocol,Synthetics,79791.24,0.0002%
855,Hybra V4,Dexs,78951.93,0.0002%
856,Skate AMM,Dexs,78193.67,0.0002%
857,PHUX,Dexs,77780.89,0.0002%
858,ReactorFusion,Lending,77648.08,0.0002%
859,Cega V2,Options,77644.12,0.0002%
860,Crema Finance,Dexs,77627.67,0.0002%
861,Velocore V1,Dexs,77446.00,0.0002%
862,Javsphere,Derivatives,76685.18,0.0002%
863,Sturdy V1,Lending,75552.02,0.0002%
864,Clovis,Yield Aggregator,75287.76,0.0002%
865,Aldrin,Dexs,74778.62,0.0002%
866,JetSwap,Dexs,74337.67,0.0002%
867,AshPerp,Derivatives,74019.76,0.0002%
868,PHAME Protocol,Derivatives,73618.98,0.0002%
869,SuiDex,Dexs,71242.75,0.0002%
870,Treble V2,Dexs,70994.05,0.0002%
871,Turtle Club,Onchain Capital Allocator,70938.73,0.0002%
872,THENA FUSION,Dexs,70252.88,0.0002%
873,BaseVol,Options,69605.53,0.0002%
874,zkSwap V2,Dexs,69515.58,0.0002%
875,Swerve,Dexs,69302.27,0.0002%
876,SithSwap,Dexs,68651.24,0.0002%
877,Swaylend,Lending,68548.71,0.0002%
878,XION Finance,Chain,68093.44,0.0002%
879,SiennaSwap,Dexs,68045.07,0.0002%
880,GemSwap by Golden Swan Solutions,RWA,67975.49,0.0002%
881,TYMIO,Options,67957.36,0.0002%
882,Spreads Finance Leverage,Lending,67005.05,0.0002%
883,9mm V3,Dexs,66623.44,0.0002%
884,SynFutures V1,Derivatives,66288.66,0.0002%
885,DeFive,Dexs,66050.82,0.0002%
886,WePiggy,Lending,65579.14,0.0002%
887,Stabull Finance,Dexs,65417.18,0.0002%
888,zkSwap V3,Dexs,65365.94,0.0002%
889,Travessia Credit,RWA Lending,64415.05,0.0002%
890,Muffin,Dexs,64354.42,0.0002%
891,OpenEden USDO,RWA,64302.12,0.0002%
892,Valence,Treasury Manager,64262.24,0.0002%
893,Rook,Dexs,64070.02,0.0002%
894,Jarvis Network,Derivatives,63960.71,0.0002%
895,zkSwap StableSwap,Dexs,63580.39,0.0002%
896,Unitus,Lending,63220.40,0.0002%
897,SatoshiCoreSwap,Dexs,62971.68,0.0002%
898,Katana,Options Vault,62732.30,0.0002%
899,Bitbond Sales,Launchpad,62026.33,0.0002%
900,ArthSwap V2,Dexs,61896.62,0.0002%
901,stabble Stableswap,Dexs,61663.69,0.0002%
902,Zomma Protocol,Options,61402.73,0.0002%
903,Scale,Dexs,60931.11,0.0002%
904,Rubicon,Dexs,60466.84,0.0002%
905,Maya Protocol,Cross Chain Bridge,60311.98,0.0002%
906,MojitoSwap,Dexs,60252.78,0.0002%
907,Nemo Vault,Yield Aggregator,60077.55,0.0002%
908,SOLID,CDP,59985.41,0.0002%
909,Capricorn,Dexs,59228.12,0.0002%
910,BigONE,CEX,59199.94,0.0002%
911,Oddz,Options,59053.60,0.0002%
912,Finext Finance,Algo-Stables,59021.46,0.0002%
913,Stabl.fi V1,Yield,59014.94,0.0002%
914,VenomBridge,Bridge,58809.50,0.0001%
915,BarnBridge,Yield Aggregator,58526.61,0.0001%
916,Hibt,CEX,57760.11,0.0001%
917,EvmoSwap,Dexs,57646.18,0.0001%
918,AlphaX,Derivatives,57586.49,0.0001%
919,DxSale,Launchpad,57519.97,0.0001%
920,Aave Arc,Lending,57258.28,0.0001%
921,Injective Bridge,Bridge,57082.53,0.0001%
922,Solidly V3,Dexs,54423.22,0.0001%
923,Astrovault,Dexs,54215.16,0.0001%
924,Kizzy,Prediction Market,54151.34,0.0001%
925,InfinityPools,Derivatives,54018.22,0.0001%
926,9Summits,Risk Curators,54012.16,0.0001%
927,YFII,Yield Aggregator,53430.40,0.0001%
928,Vires Finance,Lending,53076.77,0.0001%
929,Starlay Finance,Lending,53052.13,0.0001%
930,Ribbon Lend,Uncollateralized Lending,52723.72,0.0001%
931,StarkDeFI,Dexs,52710.41,0.0001%
932,1inch,DEX Aggregator,52184.81,0.0001%
933,Gudchain,Farm,52116.34,0.0001%
934,Typus Safu,Yield,52022.88,0.0001%
935,Microchain,Dexs,51860.00,0.0001%
936,Thesauros,Yield,51763.73,0.0001%
937,Hedgehog Markets,Prediction Market,51576.86,0.0001%
938,SakeFinance,Lending,51542.58,0.0001%
939,AstridDAO,CDP,51452.18,0.0001%
940,Hubra,Yield,51422.35,0.0001%
941,Single Finance,Leveraged Farming,50965.05,0.0001%
942,Umbra,Dexs,50851.96,0.0001%
943,Ionic Protocol,Lending,50725.21,0.0001%
944,Superposition,Lending,50721.58,0.0001%
945,Aptin Finance V1,Lending,50310.89,0.0001%
946,Deri Protocol,Options,50145.15,0.0001%
947,Teahouse Managed,Yield Aggregator,49701.86,0.0001%
948,JustBet,Luck Games,49326.91,0.0001%
949,Amply Finance,Lending,49299.79,0.0001%
950,Pingu Exchange,Derivatives,48871.01,0.0001%
951,UFarm Digital,Onchain Capital Allocator,48862.69,0.0001%
952,PRDT,Prediction Market,47987.20,0.0001%
953,Unchain X,Dexs,47893.90,0.0001%
954,Union Protocol,Uncollateralized Lending,47734.45,0.0001%
955,DeltaTrade,Dexs,47606.10,0.0001%
956,Supernova AMM,Dexs,47551.47,0.0001%
957,LayerBank,Lending,47538.05,0.0001%
958,Balmy,DCA Tools,47510.96,0.0001%
959,Saros DLMM,Dexs,47128.39,0.0001%
960,Nabla Finance,Dexs,46913.89,0.0001%
961,XAI Bridge,Canonical Bridge,46134.88,0.0001%
962,InsurAce,Insurance,46095.05,0.0001%
963,Swamp Finance,Yield,45989.74,0.0001%
964,Planet Farm,Yield,45936.73,0.0001%
965,OrderNChaos,Algo-Stables,45859.91,0.0001%
966,StellaSwap V2,Dexs,45657.65,0.0001%
967,Sanko Bridge,Canonical Bridge,45172.46,0.0001%
968,Algebra DEX,Dexs,45113.16,0.0001%
969,Credix,RWA Lending,44983.28,0.0001%
970,PICWE,Dexs,44865.74,0.0001%
971,Lynex V1,Dexs,44817.33,0.0001%
972,KyberSwap Elastic,Dexs,44711.10,0.0001%
973,Yield Protocol,Lending,44452.61,0.0001%
974,Lake Protocol,Yield,44338.34,0.0001%
975,Mellow Yield,Yield Aggregator,44129.74,0.0001%
976,Somnia Exchange,Dexs,43714.31,0.0001%
977,Charm Finance V1,Liquidity Manager,43535.33,0.0001%
978,Tethys AMM,Dexs,43459.37,0.0001%
979,HaloDAO,Yield,43421.75,0.0001%
980,Infusion,Dexs,43099.71,0.0001%
981,GoodEntry,Derivatives,43033.78,0.0001%
982,Mero,Yield,42964.73,0.0001%
983,Varlamore Capital,Risk Curators,42879.67,0.0001%
984,Neptune Finance,Lending,42321.68,0.0001%
985,Ajna V1,Lending,42198.88,0.0001%
986,DragonSwap V3 Kaia,Dexs,42177.25,0.0001%
987,Tetu Swap,Yield,41723.94,0.0001%
988,BasisOS,Basis Trading,41265.32,0.0001%
989,Premia V2,Options,41260.16,0.0001%
990,TurboFlow,Derivatives,41232.31,0.0001%
991,Frontrun Market,Services,40991.62,0.0001%
992,Vovo Finance,Yield,40282.99,0.0001%
993,Dyson Finance,Dexs,40224.66,0.0001%
994,MDEX,Dexs,40063.00,0.0001%
995,Arbitrove,Indexes,39969.16,0.0001%
996,Granary Finance,Lending,39841.81,0.0001%
997,Coin8,CEX,39824.16,0.0001%
998,Cybro,Yield Aggregator,39683.82,0.0001%
999,Stabil Finance,Yield Aggregator,39405.98,0.0001%
1000,Yield Millionaire,Yield,39189.13,0.0001%
1001,Raindex,Dexs,39104.59,0.0001%
1002,Fungify,Lending,39046.71,0.0001%
1003,Opium,Options,39030.17,0.0001%
1004,Olive,Options Vault,38472.22,0.0001%
1005,Sovryn Dex,Dexs,38343.21,0.0001%
1006,FlowX V2,Dexs,38252.83,0.0001%
1007,Metastable,CDP,38245.36,0.0001%
1008,LuaSwap,Dexs,38160.71,0.0001%
1009,Bucket Farm,Farm,38109.02,0.0001%
1010,FIN,Dexs,38025.18,0.0001%
1011,Counterstake,Cross Chain Bridge,37810.41,0.0001%
1012,O.LAB,Prediction Market,37593.41,0.0001%
1013,Atlantis DEX,Dexs,37427.96,0.0001%
1014,BrownFi,Dexs,37399.54,0.0001%
1015,River Omni-CDP,CeDeFi,37393.76,0.0001%
1016,Lifinity V2,Dexs,37264.65,0.0001%
1017,InSwap,Dexs,37236.13,0.0001%
1018,Risk Harbor,Insurance,36914.75,0.0001%
1019,1sec,Bridge,36699.65,0.0001%
1020,CompliFi,Derivatives,36571.42,0.0001%
1021,Nitron,CDP,36397.60,0.0001%
1022,Exmo,CEX,36334.74,0.0001%
1023,Ramses CL,Dexs,36287.53,0.0001%
1024,Swim Protocol,Cross Chain Bridge,36062.66,0.0001%
1025,Hedge,CDP,35982.62,0.0001%
1026,DorkFi,Lending,35869.19,0.0001%
1027,Aloe,Lending,35805.23,0.0001%
1028,atomiq exchange,Cross Chain Bridge,35438.59,0.0001%
1029,Saddle Finance,Dexs,35279.95,0.0001%
1030,Ebisus Bay,Dexs,35223.23,0.0001%
1031,Sail.Money,Yield,34991.53,0.0001%
1032,Supra Bridge,Canonical Bridge,34955.10,0.0001%
1033,Contango V1,Derivatives,34833.34,0.0001%
1034,Gravity Finance,Dexs,34500.34,0.0001%
1035,10KDex,Derivatives,33752.03,0.0001%
1036,Cog,Lending,33656.53,0.0001%
1037,Kriya CLMM,Dexs,33300.73,0.0001%
1038,Crow Finance,Dexs,33225.42,0.0001%
1039,Adamant Finance,Yield,33215.43,0.0001%
1040,1INTRO,Dexs,33102.31,0.0001%
1041,SquadSwap WOW,Dexs,32955.05,0.0001%
1042,Morpho Optimizer AaveV2,Lending,32600.19,0.0001%
1043,Robinhood,CEX,32543.32,0.0001%
1044,9inch V2,Dexs,32377.67,0.0001%
1045,Bancor V3,Dexs,31786.53,0.0001%
1046,ioTube,Bridge,31626.11,0.0001%
1047,CallPut,Options,31543.10,0.0001%
1048,Derivio,Derivatives,31463.26,0.0001%
1049,PhotonSwap Finance,Dexs,31299.71,0.0001%
1050,IXS,Dexs,31149.47,0.0001%
1051,OolongSwap,Dexs,31047.39,0.0001%
1052,Timeswap V1,Lending,30932.27,0.0001%
1053,FusionX V3,Dexs,30866.96,0.0001%
1054,ApeSwap Lending,Lending,30835.01,0.0001%
