Rank,Name,Category,USDC Amount (USD),% of Total
152,PumpSwap,Dexs,10057013.08,0.0256%
153,GAIB,RWA,9936892.20,0.0253%
154,Meteora vaults,Yield Aggregator,9830695.41,0.0251%
155,YieldNest,Onchain Capital Allocator,9758895.43,0.0249%
156,Anthias Labs,Risk Curators,9726174.10,0.0248%
157,Serum,Dexs,9724032.52,0.0248%
158,Moonwell Vaults,Onchain Capital Allocator,9699218.87,0.0247%
159,fx Protocol,Dual-Token Stablecoin,9619077.92,0.0245%
160,Scroll Bridge,Canonical Bridge,9615802.34,0.0245%
161,UltraYield Curator,Risk Curators,9593265.18,0.0244%
162,NEAR Intents,Cross Chain Bridge,9514886.47,0.0242%
163,Reserve Protocol,Indexes,9492803.82,0.0242%
164,Apex Omni,Derivatives,9325673.58,0.0238%
165,Euler DAO,Risk Curators,9321727.62,0.0238%
166,Defi Saver,CDP Manager,9319488.03,0.0238%
167,Camelot V3,Dexs,9220655.94,0.0235%
168,Kasu,RWA Lending,8666136.92,0.0221%
169,Tulipa Capital,Risk Curators,8596497.27,0.0219%
170,Byte Exchange,CEX,8298585.60,0.0211%
171,GrowiHF,Yield,8091325.82,0.0206%
172,Lista Lending,Lending,7903911.52,0.0201%
173,Compound V2,Lending,7900167.21,0.0201%
174,BloFin,CEX,7897361.33,0.0201%
175,Katana Pre-Launch,Farm,7710847.87,0.0197%
176,Wildcat Protocol,Uncollateralized Lending,7667027.92,0.0195%
177,AlphaLend,Lending,7518667.32,0.0192%
178,Project X,Dexs,7397156.84,0.0189%
179,Fusion by IPOR,Yield Aggregator,7244859.44,0.0185%
180,Mellow Core,Onchain Capital Allocator,7201413.94,0.0184%
181,Allbridge Core,Bridge,7179948.23,0.0183%
182,Base Bridge,Canonical Bridge,7163202.65,0.0183%
183,Bonzo Finance,Lending,7095282.33,0.0181%
184,Rhea Lend,Lending,7036206.76,0.0179%
185,MEV Capital,Risk Curators,6913159.64,0.0176%
186,Alchemix V3,Synthetics,6801128.66,0.0173%
187,Spectra MetaVaults,Onchain Capital Allocator,6680969.78,0.0170%
188,Futarchy AMM,Dexs,6619058.81,0.0169%
189,Gate US,CEX,6576505.10,0.0168%
190,Astroport,Dexs,6304711.34,0.0161%
191,JupUSD,Basis Trading,6276945.71,0.0160%
192,Starknet Bridge,Canonical Bridge,6268550.77,0.0160%
193,Meteora DAMM V2,Dexs,6264159.37,0.0160%
194,UltraYield Vaults,Onchain Capital Allocator,6125720.54,0.0156%
195,BitMart,CEX,6054079.17,0.0154%
196,SX Rollup Bridge,Canonical Bridge,6050492.45,0.0154%
197,Manifest Trade,Dexs,5987881.20,0.0153%
198,Multichain,Bridge,5918536.91,0.0151%
199,PancakeSwap Infinity,Dexs,5889198.19,0.0150%
200,Bluefin Spot,Dexs,5813892.23,0.0148%
201,Bluefin Pro,Derivatives,5778476.56,0.0147%
202,Hyperion,Dexs,5686367.18,0.0145%
203,Reya Bridge,Canonical Bridge,5678118.77,0.0145%
204,Reservoir Protocol,CDP,5654249.01,0.0144%
205,Origin Dollar,Yield Aggregator,5543121.84,0.0141%
206,Zoomex,CEX,5469605.39,0.0139%
207,Nado Spot,Dexs,5467804.82,0.0139%
208,cBridge,Bridge,5231808.00,0.0133%
209,Byreal,Dexs,5212317.48,0.0133%
210,Re7 Labs,Risk Curators,5202503.66,0.0133%
211,Harvest Finance,Yield Aggregator,5146302.48,0.0131%
212,Defa By InvoiceMate,RWA,5113779.75,0.0130%
213,Revert Lend,Lending,5097721.17,0.0130%
214,Mole,Yield,5094502.09,0.0130%
215,Saphyre V3,Dexs,5014747.67,0.0128%
216,Arkis,Leveraged Farming,5004433.75,0.0128%
217,Echelon Market,Lending,4864132.08,0.0124%
218,Polygon zkEVM Bridge,Canonical Bridge,4742078.06,0.0121%
219,Theo Straddle Vaults,Basis Trading,4705344.05,0.0120%
220,Rhea Dex,Dexs,4698074.64,0.0120%
221,NAVI Lending,Lending,4636139.04,0.0118%
222,Templar Protocol,Lending,4584254.32,0.0117%
223,VALR,CEX,4554902.87,0.0116%
224,Credit Coop,RWA Lending,4545814.91,0.0116%
225,Ekubo,Dexs,4530591.44,0.0115%
226,Angstrom,Dexs,4511318.63,0.0115%
227,Current,Lending,4465014.72,0.0114%
228,Goblin,Yield Aggregator,4392879.61,0.0112%
229,Ample,Yield Lottery,4377648.59,0.0112%
230,Gravity Bridge,Bridge,4373722.76,0.0111%
231,Metis Bridge,Canonical Bridge,4340692.41,0.0111%
232,Hyperlane,Cross Chain Bridge,4248608.75,0.0108%
233,Dango Bridge,Bridge,4125222.23,0.0105%
